name,city,bedroom,status,location,price_range1,bedroom2,price_range2,bedroom3,price_range3,owner,owner_name,sq.ft_min,sq_ft_max,price_per_sqft
Navins Hillview Avenue,Chennai,2,,"Thirumudivakkam, Chennai",7200,3,9000,,,Builder,Navin's,1000,1400,6.75
Maple Sky Residences at Navins Starwood,Chennai,2,"Dec, 2024","Medavakkam, Chennai",10500,,32032.6087,,,Builder,Navin's,1600,1834.765625,6.5625
VGN Highland,Chennai,2,"Jan, 2024","Tharapakkam, Chennai",8600,,32032.6087,,,Builder,VGN Homes,1900,1834.765625,4.526315789
Pearl Ishaan,Chennai,3,"Jun, 2026","K K Nagar, Nesapakkam, Chennai",28900,,32032.6087,,,Builder,Pearl Constructions,3500,1834.765625,8.257142857
Casagrand Cloud9,Chennai,2,"Oct, 2025","Sholinganallur, Chennai",9000,3,12500,,,Builder,Casagrand,1500,1800,6.515151515
Casagrand Majestica,Chennai,1,"Oct, 2025","Manapakkam, Chennai",9000,2,11200,,,Builder,Casagrand,1000,1200,9.181818182
Casagrand Linore,Chennai,1,"Apr, 2026","Kattupakkam, Chennai",6000,2,8000,,,Builder,Casa Grande Civil Engineering,1000,1200,6.363636364
Kochar Jewel,Chennai,2,"Apr, 2026","Velachery, Chennai South",23400,3,29100,,,Builder,Kochar Homes,2000,2500,11.66666667
Elite Akash Garden Guduvancheri,Chennai,1,"May, 2024","Guduvancheri, Chennai",15700,,32032.6087,,,Builder,Elite Estate,2500,1834.765625,6.28
Casagrand Suncity,Chennai,2,"Jul, 2027","Kelambakkam, Chennai",5700,3,8900,,,Builder,Casagrand,1000,1400,6.083333333
Casagrand Flagship,Chennai,1,"Sep, 2025","Pallikaranai, Chennai",9000,2,14800,,,Builder,Casagrand,1000,1300,10.34782609
Casagrand Mercury,Chennai,2,"Sep, 2027","Perambur, Chennai",10300,3,16200,,,Builder,Casagrand,1000,1400,11.04166667
Keya Around The Life,banglore,3,"Nov, 2024","Whitefield, Bangalore",18500,4,25000,,,Builder,Keya Homes,2500,3000,7.909090909
Prestige Raintree Park,banglore,3,"Jul, 2027","Whitefield, Bangalore",32900,4,40700,5,5.07,Builder,Prestige Group,3000,5500,8.658823529
Folium by Sumadhura Phase 3,banglore,3,"Dec, 2026","Whitefield, Bangalore",24200,4,36500,,,Builder,Sumadhura Group,3500,4000,8.093333333
Trifecta Vanto,banglore,2,"Aug, 2027","Sarjapur Road, Bangalore",11500,3,13400,,,Builder,Trifecta Projects,1800,2200,6.225
Sarang by Sumadhura Phase 1,banglore,3,"Dec, 2026","Whitefield, Bangalore",19500,4,26000,,,Builder,Sumadhura Group,2500,3000,8.272727273
Bhartiya Nikoo Homes 5,banglore,2,"Aug, 2029","Thanisandra, Bangalore",13100,3,20800,4,2.55,Builder,Bhartiya Group,1500,2500,8.475
United Sai Silicon Heights,banglore,2,"Dec, 2025","Whitefield, Bangalore",16500,3,23800,4,2.9,Builder,United Developers Bengaluru,2000,2700,8.574468085
Mana Skandas The Right Life,banglore,3,"Dec, 2028","Sarjapur Road, Bangalore",19700,4,21300,,,Builder,Neo Build Ventures,2500,3000,7.454545455
Godrej Woodscapes,banglore,3,"Jan, 2027","Budigere Cross, Bangalore",25700,4,31500,,,Builder,Godrej Properties,4500,5000,6.021052632
Brigade Valencia,banglore,1,"Dec, 2027","Electronic City, Bangalore",6800,2,13300,3,1.66,Builder,Brigade Group,1000,1700,7.444444444
Assetz Canvas and Cove,banglore,2,"Mar, 2025","Begur, Bangalore",12300,3,24200,,,Builder,Assetz Property Group,2500,2900,6.759259259
Modern Spaaces Engrace Vista,banglore,3,"Jun, 2027","Sarjapur Road, Bangalore",15600,,32032.6087,,,Builder,Modern Spaaces,3000,1834.765625,5.2
Raj High Gardens,banglore,2,"Apr, 2028","Hosur Road, Bangalore",11000,3,14900,,,Builder,SNN Raj Corp,2500,2800,4.886792453
Provident Botanico,banglore,2,"Sep, 2027","Whitefield, Bangalore",10200,3,14900,,,Builder,Provident Housing,1000,1700,9.296296296
RRL Palacio,banglore,2,"Apr, 2025","Sarjapur Road, Bangalore",8100,3,10000,,,Builder,RRL Builders and Developers,1500,1800,5.484848485
Mana Dale,banglore,3,"Dec, 2032","Sarjapur Road, Bangalore",18200,4,21300,,,Builder,Mana Projects,2000,2700,8.404255319
JCSV Pride,banglore,2,"Aug, 2024","8th Phase JP Nagar, Bangalore",8900,3,15600,,,Builder,JCSV Builders,2500,3000,4.454545455
Baldota Thumbprint,banglore,3,"Apr, 2025","Vidyaranyapura, Bangalore",26400,4,39500,,,Builder,Baldota Brothers,4000,5000,7.322222222
Godrej Park Retreat,banglore,1,"Feb, 2027","Sarjapur Road, Bangalore",9000,2,16000,3,2.19,Builder,Godrej Properties,1000,1800,8.928571429
Concorde Antares,banglore,2,"Dec, 2027","Vidyaranyapura, Bangalore",14300,3,17800,4,2.09,Builder,Concorde,2500,3000,5.836363636
Brigade El Dorado,banglore,1,"Sep, 2024","Bagalur, Bangalore",8000,2,11100,3,1.77,Builder,Brigade Group,1500,2000,5.457142857
