NAME,CITY,BEDROOM,STATUS,LOCATION,PRICE RANGE1,BEDROOM2,PRICE RANGE2,BEDROOM3,PRICE RANGE3,OWNER,OWNER NAME,SQ.FT min,SQ FT max
Folium by Sumadhura Phase 3,banglore,3," Dec, 2026","Whitefield, Bangalore",2.42,4,3.65,,,Builder,Sumadhura Group,3500,4000
Trifecta Vanto,banglore,2," Aug, 2027","Sarjapur Road, Bangalore",1.15,3,1.34,,,Builder,Trifecta Projects,1800,2200
Sarang by Sumadhura Phase 1,banglore,3,"Dec, 2026","Whitefield, Bangalore",1.95,4,2.6,,,Builder,Sumadhura Group,2500,3000
Bhartiya Nikoo Homes 5,banglore,2," Aug, 2029 ","Thanisandra, Bangalore",1.31,3,2.08,4,2.55,Builder,Bhartiya Group,1500,2500
United Sai Silicon Heights,banglore,2," Dec, 2025","Whitefield, Bangalore",1.65,3,2.38,4,2.9,Builder,United Developers Bengaluru,2000,2700
Mana Skandas The Right Life,banglore,3," Dec, 2028","Sarjapur Road, Bangalore",1.97,4,2.13,,,Builder,Neo Build Ventures,2500,3000
Godrej Woodscapes,banglore,3," Jan, 2027 ","Budigere Cross, Bangalore",2.57,4,3.15,,,Builder,Godrej Properties,4500,5000
Brigade Valencia,banglore,1," Dec, 2027","Electronic City, Bangalore",0.68,2,1.33,3,1.66,Builder,Brigade Group,1000,1700
Assetz Canvas and Cove,banglore,2," Mar, 2025 ","Begur, Bangalore",1.23,3,2.42,,,Builder,Assetz Property Group,2500,2900
Modern Spaaces Engrace Vista,banglore,3,"Jun, 2027","Sarjapur Road, Bangalore",1.56,,,,,Builder,Modern Spaaces,3000,
Raj High Gardens,banglore,2," Apr, 2028","Hosur Road, Bangalore",1.1,3,1.49,,,Builder,SNN Raj Corp,2500,2800
Provident Botanico,banglore,2,"Sep, 2027","Whitefield, Bangalore",1.02,3,1.49,,,Builder,Provident Housing,1000,1700
RRL Palacio,banglore,2," Apr, 2025","Sarjapur Road, Bangalore",0.81,3,1,,,Builder,RRL Builders and Developers,1500,1800
Mana Dale,banglore,3,"Dec, 2032","Sarjapur Road, Bangalore",1.82,4,2.13,,,Builder,Mana Projects,2000,2700
JCSV Pride,banglore,2,"Aug, 2024","8th Phase JP Nagar, Bangalore",0.89,3,1.56,,,Builder,JCSV Builders,2500,3000
Baldota Thumbprint,banglore,3,"Apr, 2025","Vidyaranyapura, Bangalore",2.64,4,3.95,,,Builder,Baldota Brothers,4000,5000
Godrej Park Retreat,banglore,1," Feb, 2027","Sarjapur Road, Bangalore",0.9,2,1.6,3,2.19,Builder,Godrej Properties,1000,1800
Concorde Antares,banglore,2,"Dec, 2027","Vidyaranyapura, Bangalore",1.43,3,1.78,4,2.09,Builder,Concorde,2500,3000
Brigade El Dorado,banglore,1,"Sep, 2024 ","Bagalur, Bangalore",0.8,2,1.11,3,1.77,Builder,Brigade Group,1500,2000
Axis Oaklyn,banglore,2,"Mar, 2026","Yelahanka, Bangalore",1.01,3,1.3,,,Builder,Axis Concept,1500,2000
Amrutha Platinum Towers,banglore,2," Sep, 2024","Whitefield, Bangalore",1.39,3,1.65,,,Builder,Amrutha Rama Constructions,1500,2000
Bhartiya City Nikoo Homes 6,banglore,1," Sep, 2029","Kogilu, Bellari Road",1,2,1.79,3,3.32,Builder,Bhartiya Group,1500,2000
Lodha Mirabelle,banglore,2,"Dec,2027","Hebbal, Bangalore",2,3,2.69,4,3.25,Builder,Lodha,2500,3000
Sumadhuras Gardens By The Brook,hyderabad,2," Sep, 2025 ","Rajendra Nagar, Hyderabad",0.97,3,1.28,,,Builder,Sumadhura Group,450,550
Unnati Shree Rath Apartments,hyderabad,2," Dec, 2025","Nizampet, Hyderabad",0.61,3,1.17,,,Builder,Unnati,300,500
The Olympus,hyderabad,2," Jun, 2026","Nanakramguda, Hyderabad",2,3,2.59,,,Builder,Sumadhura Group,900,1200
Sattva Lake Ridge,hyderabad,3," Jan, 2028 ","Kokapet, Hyderabad",3.84,4,5.38,,,Builder,Sattva Group,1500,1900
Fortune Butterfly City,hyderabad,1,,"Kadthal, Hyderabad",0.3,,,,,Builder,Fortune Infra Developers,200,
Realplus Fuji Halcyon,hyderabad,4," Dec, 2028","Jubilee Hills, Hyderabad",10.51,5,14,,,Builder,Realplus Homes,5000,9000
Syamantaka Emerald Heights,hyderabad,2,"Dec, 2023","Bachupally, Hyderabad",0.74,3,0.96,,,Builder,Syamantaka Infra,300,400
NSL Nakshatra,hyderabad,3," Dec, 2028","KPHB, Kukatpally",2.43,4,3.33,,,Builder,NSL Infratech,900,1500
Shiva Sai Lavista,hyderabad,2,"Nov, 2026","Nizampet, Hyderabad",0.91,3,1.18,,,Builder,Shiva Sai Constructions Hyderabad,500,600
Sunshine Green Meadows,hyderabad,2," Dec, 2025","Bachupally, Hyderabad",0.64,3,0.85,,,Builder,Sunshine Infra Telangana,300,400
Pallavi Gardenia,hyderabad,2,,"Nagole, Ring Road",0.72,3,1.13,,,Builder,Pallavi Developers,300,500
